x,t,L_fusion,die_temp_l,die_temp_r,temp
0.0037250587251037356,2.4233441073447466,388224.36673217453,726.0187938064337,783.9674811344594,741.6603554126763
0.012601515054702759,6.9354082606732845,409095.9680921864,984.2222781665623,909.6154177282006,921.7961296365224
0.007810211959294974,0.16750759538263083,392281.2483056914,679.5535250846297,948.8010414037853,773.0070366831984
0.0064326217258349055,4.460775149054825,401225.2509454731,838.5571590345353,637.5727588217705,752.4933263343611
0.0051250767242163415,1.7066194815561175,403683.98410342634,897.8206079080701,695.1935368217528,857.1726647978338
0.011247273869812488,4.249666632153094,388780.1710755564,645.9263932518661,993.6092949658632,908.1410179391079
0.013926913286559284,2.649947492405772,399914.66932827607,969.802202032879,839.2067968100309,849.9510627775551
0.000303103462792933,5.411804802715778,396934.0877775103,817.3017769958824,751.9963357783854,815.9698127477262
0.0017466132575646041,0.44462964963167906,398685.0379928481,623.471309049055,891.8399673048407,655.7460283730841
0.014373044776730239,4.956263245083392,395706.4516166691,881.774846771732,798.674502177164,802.3980918656601
0.009790477976202965,2.1536360662430525,405624.1769748274,782.0991540886462,648.9787077438086,701.6288234547034
0.004662920152768492,6.4464730098843575,390718.0034286808,941.0025361180305,940.5385828856379,940.8605096182906
0.006865506679750979,3.241455288603902,393275.8996778168,1000.2547030802816,1011.0439771413803,1005.0988667870465
0.009237671415321528,5.784071829169989,402221.91028632224,748.4606273192912,681.0466264374554,707.1881144691285
0.012184648476541042,1.0949403708800673,386426.3536836952,867.3668376170099,740.9561672993004,789.5412563016073
0.0023108634632080793,3.856367123313248,407295.5845744349,714.7664661332965,846.9341568648815,736.3756819263292
0.002366125211119652,1.0881428057327867,395239.9533703923,956.754373414442,618.8850169908255,922.595725082368
0.011301750456914306,3.5761352656409144,398219.86962603405,805.1548807416111,967.4997253064066,925.8697438788554
0.008597162836231291,3.3166896253824234,391184.669731278,910.4666758514941,915.2967631164938,913.2267257204386
0.0071617774246260524,6.023372134193778,406089.1707994044,659.2730882763863,778.2876936625689,715.1373129605993
0.003780448995530605,1.777591247111559,402873.42845709063,667.2873764391989,759.1337403841317,693.4130244382142
